"","fam","group"
"1","Elmidae","grazer_scraper"
"2","Hydraenidae","grazer_scraper"
"3","Lymnaeidae","grazer_scraper"
"4","Psychodidae","grazer_scraper"
"5","Anthomyiidae","grazer_scraper"
"6","Physidae","grazer_scraper"
"7","Planorbidae","grazer_scraper"
"8","Ancylidae","grazer_scraper"
"9","Hydrobiidae","grazer_scraper"
"10","Blephariceridae","grazer_scraper"
"11","Psephenidae_(=Eubriidae)","grazer_scraper"
"12","Thaumaleidae","grazer_scraper"
"13","Dryopidae","grazer_scraper"
"14","Gammaridae","shredder"
"15","Scirtidae_(=Helodidae)","shredder"
"16","Limoniidae","shredder"
"17","Asellidae","shredder"
"18","Tipulidae","shredder"
"19","Helophoridae","shredder"
"20","Lepidoptera","shredder"
"21","Chrysomelidae","shredder"
"22","Pontogammaridae","shredder"
"23","Curculionidae","shredder"
"24","Chironomidae","gatherer_collector"
"25","Oligochaeta","gatherer_collector"
"26","Psychodidae","gatherer_collector"
"27","Ptychopteridae","gatherer_collector"
"28","Tabanidae","gatherer_collector"
"29","Stratiomyidae","gatherer_collector"
"30","Corixidae","gatherer_collector"
"31","Niphargidae","gatherer_collector"
"32","Syrphidae","gatherer_collector"
"33","Valvatidae","gatherer_collector"
"34","Sphaeriidae","active_filter_feeder"
"35","Bithyniidae","active_filter_feeder"
"36","Simuliidae","passive_filter_feeder"
"37","Dixidae","passive_filter_feeder"
"38","Cordulegasteridae","predator"
"39","Athericidae","predator"
"40","Ceratopogonidae","predator"
"41","Dytiscidae","predator"
"42","Empididae","predator"
"43","Erpobdellidae","predator"
"44","Planariidae","predator"
"45","Sialidae","predator"
"46","Glossiphoniidae","predator"
"47","Platycnemididae","predator"
"48","Hydrozoa","predator"
"49","Calopterygidae","predator"
"50","Cnidaria","predator"
"51","Hydrophilidae","predator"
"52","Dolichopodidae","predator"
"53","Gyrinidae","predator"
"54","Dugesiidae","predator"
"55","Rhagionidae","predator"
"56","Gerridae","predator"
"57","Coenagrionidae","predator"
"58","Dendrocoelidae","predator"
"59","Osmylidae","predator"
"60","Veliidae","predator"
"61","Chaoboridae","predator"
"62","Aphelocheiridae","predator"
"63","Gomphidae","predator"
"64","Piscicolidae","predator"
"65","Mesoveliidae","predator"
"66","Sciomyzidae","predator"
"67","Notonectidae","predator"
"68","Hydracarina","parasite"
"69","Nemathelminthes","parasite"
"70","Hymenoptera","parasite"
