"","Df","SumOfSqs","F","Pr(>F)"
"Masl_2",1,3.63915809225779,22.7559180544191,0.001
"MSK_class",3,2.16467885086608,4.51196433310957,0.001
"foam",2,0.973415294704802,3.04341802659607,0.009
"mud",2,0.88205033907699,2.75776219760978,0.013
"land1",1,0.816628217708121,5.10643515120362,0.003
"var_depth",2,0.954316539629726,2.98370508002823,0.003
"decidious_per_forest",1,0.607926891117454,3.80141070177134,0.012
"turbidity",2,0.729185987334196,2.27982628860084,0.028
"Residual",193,30.8648286624217,NA,NA
